Product Name,Price,Description,Image URLs,Product URL,In House Label,Categories,Category Rankings
Berberine Blast,$37.00 USD,"Supports lipid and glucose metabolism*
Berberine Balance supplies berberine combined with alpha lipoic acid and grape seed extract for healthy blood sugar and cardiovascular support. Recent studies indicate that berberine, a naturally occurring alkaloid found in a number of plants, is an effective supplement for helping to maintain cardiometabolic health. Grape seed extract is a well-known antioxidant with heart health benefits, and alpha lipoic acid helps to support proper insulin function.*
Serving Size 1 Vegetarian Capsule • Servings Per Container 60
Berberine HCI (from
Berberis aristata
extract, root)
500 mg
Alpha Lipoic Acid
50 mg
Grape Seed Extract
50 mg
Other ingredients: Hydroxypropyl methylcellulose (capsule), hydroxypropyl cellulose, vegetable stearate, and silica
Suggested Usage: 1, twice daily",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/files/berberine.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/berberine-blast,True,['Body'],['Body']
Bergamot BPF,$51.00 USD,"Optimizing cardiovascular health is a leading concern for many adults, and maintaining balanced cholesterol levels are an important part of that process. Though cholesterol can be consumed through food, circulating cholesterol levels are primarily produced and controlled by the liver using the rate control enzyme, HMG-CoA reductase (HMGCR). Because of its pronounced role in cholesterol synthesis, inhibiting HMGCR has become a primary target of many traditional therapies.
Numerous clinical trials have shown the specific BPF found in Bergamot BPF works at the level of the liver to help maintain and support healthy cholesterol levels and preserve coronary arteries by maintaining normal inflammatory balance.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/bergamont.jpg; https://wellnessshoppes.com/cdn/shop/products/bergamontlabel2.png; https://www.orthomolecularproducts.com/images/default-source/products/sfb-labels/598-bergamot-bpf-sfb-retlg.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/bergamot-bpf,False,['Body'],['Body']
BHI Diarrhea,$16.00 USD,"Homeopathic. Natural diarrhea relief – BHI Diarrhea tablets relieve mild diarrhea, travelers’ diarrhea and stomach ache.†
• Gentle relief – 8 active ingredients including Colocynthis, a well known remedy for gently relieving spasms often accompanying diarrhea.†
• Homeopathic approach – Homeopathy treats symptoms with a micro-dose of an active ingredient to stimulate the body’s own defenses. MediNatura's approach combines multiple potent actives, in multiple concentrations for greater relief of more symptoms.
• Safe, effective relief – All BHI tablets have no known interactions with other medicines or supplements and are non-addictive.
• Quick dissolve tablets – Easy to use, dissolvable tablets for fast, convenient relief whenever symptoms start. This safe formula can be taken daily, or as needed during symptom flare ups.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/bhidiahreea.jpg; https://wellnessshoppes.com/cdn/shop/products/BHIDia.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/bhi-diarrhea,False,[],[]
Body Mender,$61.00 USD,"Size: 60 Vegetable Capsules
Body Mender™ provides ch-OSA® (choline-stabilized orthosilicic acid), that helps naturally nourish your body’s beauty proteins.*Regular orthosilicic acid is highly unstable, leading it to form polymers. These polymers are too large for the human body to absorb. But the patented “choline stabilization” technology in Body Mender prevents the polymers from forming, ensuring optimal absorption. Body Mender has been formulated with clinically proven ch-OSA for your assurance.*
Reduces Fine Lines and Wrinkles*
Thickens and Strengthens Hair*
Strengthens Nails*
Increases Hip Bone Mineral Density*
Adds Flexibility to Bones*
Promotes Healthy Joints*",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/bodymender.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/body-mender,True,['Body'],['Body']
BodyAnew,$49.00 USD,"#1 Homeopathic Cleanse/Detox in USA!
Homeopathic Medicine
Supports 5 organs that purify the body†
CONTENTS: 1 LYMPH & LUNGS, 1 KIDNEY, 1 COLON & LIVER. 25% ALCOHOL
Experience increased vitality, energy and a feeling of restoration! †
Easy 3-step, all-liquid system.
Supports 5 organs that purify the body: Colon, Liver, Kidney, Lungs, and Lymphatic System
Use for up to two weeks.
BodyAnewTM is an over-the counter cleanse product and is not designed to eliminate illegal drugs from the body. It is not designed to treat overdoses of Rx medicines or to eliminate specific poisons from the body. It is not designed to treat any organ disease or organ malfunction. For any of these you should seek professional medical attention.
Uses: For the temporary relief of occasional low energy, minor abdominal bloating, upper respiratory symptoms such as cough, runny nose, urinary pain.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/bodyanew.jpg; https://wellnessshoppes.com/cdn/shop/products/bodyanewing.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/bodyanew,False,['Spirit'],['Spirit']
Boron Joint with CurcuWIN,$39.00 USD,"Boron Joint with CurcuWIN® supplies targeted nutritional support for connective tissue and bones.* It contains CurcuWIN® turmeric extract with minimum 20% curcuminoids, enhanced with boron and magnesium.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/boron.jpg; https://wellnessshoppes.com/cdn/shop/products/boronfacts.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/boron-joint-with-curcuwin,False,['Body'],['Body']
Build You,$55.00 USD,"Description
Build You represents a breakthrough in the use of amino acids for muscle protein synthesis. Over 20 human trials have been conducted to arrive at this specific, patent-pending combination of amino acids in the most effective, anabolic ratios. Whether you want to support muscle strength and function or prevent muscle loss associated with inactivity or aging, Build You provides the right amino acids in the right ratios to help you meet your goals and stay healthy.*
Dissolve one scoop (6.8 g) into 8-12 oz of room-temperature water and consume once per day between meals, or use as directed by your healthcare practitioner.
Consult your healthcare practitioner prior to use. Individuals taking medication should discuss potential interactions with their healthcare practitioner. Do not use if tamper seal is damaged.
DOES NOT CONTAIN:
Wheat, gluten, yeast, soy, animal or dairy products, fish, shellfish, peanuts, tree nuts, ingredients derived from genetically modified organisms (GMOs), artificial colors, artificial sweeteners, or artificial preservatives
Keep closed in a cool, dry place out of reach of children.
OTHER INGREDIENTS:
Citric acid, malic acid, natural flavors (no MSG), sea salt, stevia, and riboflavin (for color).
Supplement Facts
Serving Size: 1 Scoop (about 6.8 g)
Servings Per Container: About 30
Amount Per Serving
% Daily Value
Calories
5
Sodium
60 mg
3%
L-Leucine
1.639 g
**
L-Lysine HCL
707.85 mg
**
L-Valine
450 mg
**
L-Isoleucine
436.5 mg
**
L-Arginine
405 mg
**
L-Threonine
382.5 mg
**
L-Phenylalanine
274.5 mg
**
L-Methionine
135 mg
**
L-Histidine
67.5 mg
**
L-Tryptophan
2.7 mg
**",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/buildyou.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/build-you,True,['Body'],['Body']
Cardio VH 180 Count,$48.00 USD,"Size: 180 Caps
Supplement Facts, Serving Size: 1 cap, Servings per Bottle: 180, Amount Per Serving, Magnesium (as magnesium amino acid chelate) 20 mg, Potassium (as potassium amino acid chelate) 20 mg, Rauwolfia extract 15 mg, Cardio VH formula: 305mg, (Passion flower, hawthorn berry extract, lemon balm leaf, astragalus root, skullcap herb, eucommia bark extract, coleus forskohlii extract, garlic, arjuna extract, fo-ti extract, astragalus extract.), Other Ingredients: Gelatin (capsule), rice bran.
Magnesium (as magnesium amino acid chelate)
20 mg
Potassium (as potassium amino acid chelate)
20 mg
Rauwolfia extract
15 mg
Cardio VH formula
305 mg
Passionflower
hawthorn berry extract
lemon balm leaf
astragalus root
skullcap herb
eucommia bark extract
coleus forskohlii extract
garlic
arjuna extract
fo-ti extract
astragalus extract",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/cardiovh180.jpg; https://wellnessshoppes.com/cdn/shop/products/cardiovhlabel.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/cardio-vh-180-count,False,[],[]
Cardio VH 90 Count,$25.00 USD,"Supplement Facts, Serving Size: 1 cap, Servings per Bottle: 180, Amount Per Serving, Magnesium (as magnesium amino acid chelate) 20 mg, Potassium (as potassium amino acid chelate) 20 mg, Rauwolfia extract 15 mg, Cardio VH formula: 305mg, (Passion flower, hawthorn berry extract, lemon balm leaf, astragalus root, skullcap herb, eucommia bark extract, coleus forskohlii extract, garlic, arjuna extract, fo-ti extract, astragalus extract.), Other Ingredients: Gelatin (capsule), rice bran.
Magnesium (as magnesium amino acid chelate)
20 mg
Potassium (as potassium amino acid chelate)
20 mg
Rauwolfia extract
15 mg
Cardio VH formula
305 mg
Passionflower
hawthorn berry extract
lemon balm leaf
astragalus root
skullcap herb
eucommia bark extract
coleus forskohlii extract
garlic
arjuna extract
fo-ti extract
astragalus extract",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/cardiovh90.jpg; https://wellnessshoppes.com/cdn/shop/products/cardiovhlabel_8066f00f-acf9-4b7c-b5b6-79fed88b78ee.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/cardio-vh-90-count,False,[],[]
Chill Pill Plus,$29.00 USD,,https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/chillpillplus.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/chill-pill-plus,True,[],[]
Cholesterol Support,$34.85 USD,"Supplement Facts:
Serving Size 3 Tablets
Servings Per Container 30
Amount                                              Daily %
Niacin (as inositol hexanicotinate)                 200 mg                                             1,250%
Vitamin B-6 (as pyridoxine HCI)                          25 mg                                             1,471%
Folate                                                                           667 mcg DFE                                     167%  (400 mcg folic acid)
Vitamin B-12 (as cyanocobalamin)                  25 mcg                                           1,042%
Chromium (as polynicotinate)‡                      200 mcg                                              571%
Policosanol
(from 18 mg of policosanol complex)§             10 mg                                                   *
Plant sterols#                                                            800 mg                                                  *
Tocotrienols                                                                     5 mg                                                   *
Guggulipid                                                                  500 mg                                                   *
(Standardized to 2.5% [12.5 mg] guggulsterones)
Soy (Glycine max) bean extract ††                  250 mg                                                   *
(Standardized to 2.5-3.5% [6.25-8.75 mg] isoflavones)
Phosphatidylcholine                                                20 mg                                                    *
Pantethine ‡‡                                                             50 mg                                                     *
Oat Bran                                                                     200 mg                                                     *
Garlic                                                                               50 mg                                                     *
Grape seed extract                                                     5 mg                                                     *
Artichoke extract §§                                                25 mg                                                     *
Inositol                                                                           50 mg                                                     *
*Daily Value not established
Other Ingredients:
Cellulose, vegetable stearin, cellulose gum, food
glaze, silica, calcium silicate, magnesium vegetable stearate, modified
cellulose and corn starch.
Contains No
sugar, salt, dairy, yeast, preservatives, artificial colors
or flavors.
Suggested Use:
As a dietary supplement, adults take three (3) tablets daily at mealtime, or as directed by a health care professional. Store in a cool, dry place and away from direct light.
† These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
KEEP OUT OF REACH OF CHILDREN.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/cholesterolsupport.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/cholesterol-support,True,['Body'],['Body']
Collagen Peptide Powder,$23.00 USD,"Collagen peptides from types 1 and 3 bovine collagen are well-known for their roles in bone, joint and skin health.* As the most abundant protein in mammals, collagen makes up about 30% of the body’s protein. Studies indicate that hydrolyzed collagen may help to support strong bones and healthy joints as well as skin smoothness and hydration.
• Promotes Healthy Skin*
• Clinically Tested
Natural color variation may occur in this product.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/collagen.jpg; https://wellnessshoppes.com/cdn/shop/products/collagening.png; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/collagen-peptide-powder,False,['Body'],['Body']
CoQ10 Softgel 100mg,$21.00 USD,"Co Q 10 is a biologically active quinone found in every cell of the body. It is a cofactor in the electron transport chain, the biological pathway in cellular respiration from which ATP** and most of the body’s energy are derived.†
**Adenosine Triphosphate (ATP) is an energy-rich compound used for all energy-requiring processes within human cells. Scientific studies show that Co Q 10 is three times more bioavailable when delivered in an oil-based soft-gel capsule. Our Co Q 10 is dissolved in Vitamin E oil prior to encapsulation to increase the product’s intestinal absorption.
SUPPLEMENT FACTS
Serving Size                1 Softgel Capsule
Amount                                       % Daily
Per Serving                                      Value
Coenzyme Q 10                                                               100 mg                                                *
(as ubiquinone)
*Daily Value not established
Other Ingredients: Softgel (gelatin, glycerin, water, zinc
oxide and annatto), rice bran oil, lecithin, vitamin E and
beeswax.
Contains soy.
Manufactured on equipment that processes
peanuts.
May contain traces of peanuts.
Contains
No
sugar, salt, dairy, yeast, wheat, gluten, corn, preservatives, artificial colors or flavors.
Suggested Use
: As a dietary supplement, adults take one (1) softgel capsule, one (1) to two (2) times daily with meals, or as directed by a health care professional. Store in a cool, dry place and away from direct light.
† This statement has not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.
KEEP OUT OF REACH OF CHILDREN.",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/coq10100mg.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/coq10-softgel-100mg,True,"['Body', 'Spirit']","['Spirit', 'Body']"
Crave-Nothin,$34.50 USD,"Crave Nothin’
contains key amino acids to support the biosynthesis of neurotransmitters involved in appetite control, carbohydrate or fat cravings, and mood. Chromium is present to support healthy glucose metabolism and support food intake regulation.*
Nutritional Support for Carbohydrate, Alcohol & Drug Cravings*
Supports Healthy Weight (by reducing carbohydrate cravings)*
Improve Sense of Wellbeing and Energy*
Supports Healthy Serotonin Levels*
Supplement Facts
Serving Size: 4 Capsules
Amount Per Serving
% Daily Value
Vitamin C (ascorbic acid)
500 mg
833%
Vitamin B6 (as pyridoxine HCl)
37.5 mg
1875%
Chromium (as TRAACS
®
chromium nicotinate glycinate chelate)
60 mcg
50%
DL-Phenylalanine
1 g
**
L-Tyrosine
750 mg
**
L-Glutamine
375 mg
**
5-HTP (5-hydroxytryptophan)(from
Griffonia simplicifolia
)(seed)
75 mg
**",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/cravenothing.jpg; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/crave-nothin,True,"['Body', 'Spirit']","['Spirit', 'Body']"
D-Limonene,$35.00 USD,"D-Limonene delivers relief from occasional heartburn, acid indigestion, and upset stomach.* Its key ingredient, orange peel extract, provides relief without shutting down the production of stomach acid.
D-Limonene also plays an essential role in immune system health.*",https://wellnessshoppes.com/cdn/shop/files/wellness-shoppe-logo-apple-retail.jpg; https://wellnessshoppes.com/cdn/shop/products/d2.jpg; https://wellnessshoppes.com/cdn/shop/products/D-Limonene-Integrative-Therapeutics-1659742252_1412x700_a6662716-bfda-49d3-b2fe-eaa1cf23acb6.webp; https://wellnessshoppes.com/cdn/shop/files/20220822_144533_1.jpg,https://wellnessshoppes.com/products/d-limonene,False,['Body'],['Body']
